LISTA DE SECUENCIAS: ESTRELLITA ¿DÓNDE ESTÁS? (CON SILENCIOS DE 500 SEG)
Formato: [ [Frecuencia(s) Hz], "Nota", Duración(ms) ]
--------------------------------------------------
1. [ [261.63], "Do", 500 ]
2. [ [0.0], "Silencio", 500 ]
3. [ [261.63], "Do", 500 ]
4. [ [0.0], "Silencio", 500 ]
5. [ [392.0], "Sol", 500 ]
6. [ [0.0], "Silencio", 500 ]
7. [ [392.0], "Sol", 500 ]
8. [ [0.0], "Silencio", 500 ]
9. [ [440.0], "La", 500 ]
10. [ [0.0], "Silencio", 500 ]
11. [ [440.0], "La", 500 ]
12. [ [0.0], "Silencio", 500 ]
13. [ [392.0], "Sol", 1000 ]
14. [ [0.0], "Silencio", 500 ]
15. [ [349.23], "Fa", 500 ]
16. [ [0.0], "Silencio", 500 ]
17. [ [349.23], "Fa", 500 ]
18. [ [0.0], "Silencio", 500 ]
19. [ [329.63], "Mi", 500 ]
20. [ [0.0], "Silencio", 500 ]
21. [ [329.63], "Mi", 500 ]
22. [ [0.0], "Silencio", 500 ]
23. [ [293.66], "Re", 500 ]
24. [ [0.0], "Silencio", 500 ]
25. [ [293.66], "Re", 500 ]
26. [ [0.0], "Silencio", 500 ]
27. [ [261.63], "Do", 1000 ]
28. [ [0.0], "Silencio", 500 ]
29. [ [392.0], "Sol", 500 ]
30. [ [0.0], "Silencio", 500 ]
31. [ [392.0], "Sol", 500 ]
32. [ [0.0], "Silencio", 500 ]
33. [ [349.23], "Fa", 500 ]
34. [ [0.0], "Silencio", 500 ]
35. [ [349.23], "Fa", 500 ]
36. [ [0.0], "Silencio", 500 ]
37. [ [329.63], "Mi", 500 ]
38. [ [0.0], "Silencio", 500 ]
39. [ [329.63], "Mi", 500 ]
40. [ [0.0], "Silencio", 500 ]
41. [ [293.66], "Re", 1000 ]
42. [ [0.0], "Silencio", 500 ]
43. [ [392.0], "Sol", 500 ]
44. [ [0.0], "Silencio", 500 ]
45. [ [392.0], "Sol", 500 ]
46. [ [0.0], "Silencio", 500 ]
47. [ [349.23], "Fa", 500 ]
48. [ [0.0], "Silencio", 500 ]
49. [ [349.23], "Fa", 500 ]
50. [ [0.0], "Silencio", 500 ]
51. [ [329.63], "Mi", 500 ]
52. [ [0.0], "Silencio", 500 ]
53. [ [329.63], "Mi", 500 ]
54. [ [0.0], "Silencio", 500 ]
55. [ [293.66], "Re", 1000 ]
56. [ [0.0], "Silencio", 500 ]
57. [ [261.63], "Do", 500 ]
58. [ [0.0], "Silencio", 500 ]
59. [ [261.63], "Do", 500 ]
60. [ [0.0], "Silencio", 500 ]
61. [ [392.0], "Sol", 500 ]
62. [ [0.0], "Silencio", 500 ]
63. [ [392.0], "Sol", 500 ]
64. [ [0.0], "Silencio", 500 ]
65. [ [440.0], "La", 500 ]
66. [ [0.0], "Silencio", 500 ]
67. [ [440.0], "La", 500 ]
68. [ [0.0], "Silencio", 500 ]
69. [ [392.0], "Sol", 1000 ]
70. [ [0.0], "Silencio", 500 ]
71. [ [349.23], "Fa", 500 ]
72. [ [0.0], "Silencio", 500 ]
73. [ [349.23], "Fa", 500 ]
74. [ [0.0], "Silencio", 500 ]
75. [ [329.63], "Mi", 500 ]
76. [ [0.0], "Silencio", 500 ]
77. [ [329.63], "Mi", 500 ]
78. [ [0.0], "Silencio", 500 ]
79. [ [293.66], "Re", 500 ]
80. [ [0.0], "Silencio", 500 ]
81. [ [293.66], "Re", 500 ]
82. [ [0.0], "Silencio", 500 ]
83. [ [261.63], "Do", 1000 ]
84. [ [0.0], "Silencio", 500 ]
